routes,count,p_values_corr,p_values_poly
31104-31106,4833,0.013995335,0.287128713
31106-31104,4831,0.000999667,0.00990099
31613-31619,4820,0.042652449,0.198019802
31619-31613,3806,0.878373875,0.128712871
31200-31201,3674,0.964678441,0.366336634
31217-31217,3373,0.785071643,0.633663366
31229-31200,3270,0.046317894,0.00990099
31201-31200,3229,0.01766078,0.02970297
31101-31200,2779,0.051982672,0.00990099
31623-31611,2753,0.995334888,0.564356436
31623-31622,2728,0.970343219,0.683168317
31200-31229,2698,0.033655448,0.158415842
31007-31009,2626,0.01032989,0.188118812
31622-31623,2615,0.756747751,0.069306931
31104-31200,2451,0.127624125,0.00990099
31007-31011,2435,0.320559813,0.128712871
31201-31229,2391,0.235254915,0.00990099
31200-31200,2335,0.457514162,0.059405941
31611-31623,2212,0.001999334,0.059405941
31200-31101,2211,0.283905365,0.04950495
31009-31007,2178,0.006331223,0.435643564
31619-31623,2149,0.357214262,0.04950495
31235-31235,2147,0.001332889,0.01980198
31205-31200,2061,0.319893369,0.336633663
31101-31201,2049,0.014995002,0.00990099
31200-31205,2019,0.003332223,0.861386139
31201-31101,2014,0.003332223,0.178217822
31203-31200,2009,0.001666111,0.02970297
31303-31302,1989,0.160279907,0.782178218
31613-31606,1988,0.018993669,0.346534653
31229-31201,1987,0.03098967,0.04950495
31214-31201,1956,0.034321893,0.366336634
31613-31622,1920,0.897700766,0.188118812
31201-31214,1905,0.313895368,0.198019802
31214-31213,1900,0.801066311,0.792079208
31104-31107,1895,0.615461513,0.108910891
31107-31104,1867,0.977674109,0.03960396
31200-31225,1856,0.000333222,0.00990099
31214-31200,1832,0.577474175,0.089108911
31622-31613,1828,0.804398534,0.881188119
31602-31107,1819,0.009663446,0.00990099
31200-31237,1793,0.022992336,0.287128713
31623-31619,1780,0.444851716,0.722772277
31200-31104,1755,0.587137621,0.306930693
31215-31215,1750,0.718093969,0.693069307
31200-31203,1728,0.052649117,0.069306931
31200-31214,1708,0.513828724,0.04950495
31303-31301,1686,0.493835388,0.267326733
31200-31110,1678,0.593468844,0.01980198
31237-31200,1665,0.718760413,0.98019802
31110-31200,1651,0.987337554,0.00990099
31225-31225,1646,0.105964678,0.128712871
31202-31200,1639,0.335554815,0.603960396
31400-31602,1589,0.716427857,0.02970297
31104-31105,1572,0.062312562,0.00990099
31602-31400,1545,0.447517494,0.188118812
31201-31110,1541,0.609796734,0.138613861
31222-31222,1528,0.925358214,0.00990099
31110-31201,1526,0.845718094,0.603960396
31235-31217,1501,0.879373542,0.544554455
31219-31219,1479,0.036321226,0.01980198
31011-31007,1473,0.000333222,0.118811881
31606-31613,1470,0.024658447,0.138613861
31101-31203,1443,0.004998334,0.178217822
31200-31202,1443,0.010996335,0.00990099
31229-31214,1431,0.051316228,0.831683168
31602-31401,1418,0.075308231,0.01980198
31623-31218,1401,0.217927358,0.425742574
31103-31200,1391,0.088637121,0.00990099
31200-31215,1386,0.004665112,0.00990099
31237-31237,1361,0.056314562,0.01980198
31111-31201,1351,0.68443852,0.584158416
31105-31104,1346,0.080306564,0.04950495
31205-31205,1335,0.04565145,0.03960396
31225-31200,1335,0.021992669,0.01980198
31623-31616,1319,0.145618127,0.336633663
31212-31200,1311,0.347884039,0.534653465
31401-31602,1311,0.666444518,0.01980198
31600-31620,1310,0.006331223,0.01980198
31101-31214,1309,0.12095968,0.247524752
31204-31204,1309,0.048983672,0.247524752
31610-31623,1308,0.793402199,0.00990099
31610-31619,1303,0.136621126,0.326732673
31620-31600,1297,0.055648117,0.425742574
31619-31605,1288,0.253582139,0.089108911
31103-31104,1281,0.871042986,0.415841584
31228-31228,1278,0.11362879,0.00990099
31007-31010,1276,0.848717094,0.148514851
31104-31110,1276,0.4985005,0.00990099
31302-31305,1276,0.000333222,0.089108911
31107-31602,1268,0.691436188,0.178217822
31201-31111,1268,0.973008997,0.930693069
31301-31303,1268,0.002665778,0.00990099
31106-31103,1265,0.18293902,0.217821782
31218-31623,1263,0.13128957,0.099009901
31104-31602,1257,0.223592136,0.01980198
31105-31101,1249,0.015328224,0.03960396
31203-31101,1249,0.630123292,0.02970297
31111-31200,1243,0.428190603,0.861386139
31200-31111,1241,0.534821726,0.04950495
31619-31610,1236,0.69176941,0.069306931
31623-31610,1234,0.021326225,0.504950495
31613-31607,1223,0.631456181,0.059405941
31200-31212,1221,0.184938354,0.03960396
31603-31616,1211,0.150616461,0.207920792
31214-31110,1206,0.306897701,0.01980198
31214-31101,1201,0.554815062,0.455445545
31623-31613,1192,0.317227591,0.712871287
31104-31214,1186,0.45718094,0.00990099
31623-31618,1186,0.602465845,0.099009901
31217-31235,1170,0.000999667,0.04950495
31236-31200,1162,0.306897701,0.059405941
31103-31106,1159,0.000999667,0.00990099
31602-31104,1156,0.024991669,0.267326733
31218-31217,1152,0.173942019,0.831683168
31217-31218,1131,0.083305565,0.128712871
31106-31200,1126,0.091636121,0.079207921
31208-31623,1126,0.001332889,0.059405941
31203-31228,1124,0.777074309,0.871287129
31204-31205,1124,0.008330556,0.01980198
31607-31613,1108,0.107964012,0.02970297
31214-31205,1104,0.266244585,0.118811881
31623-31208,1102,0.199933356,0.841584158
31302-31303,1096,0.996334555,0.00990099
31613-31208,1095,0.286571143,0.04950495
31205-31204,1092,0.040319893,0.02970297
31105-31200,1090,0.030323226,0.495049505
31214-31229,1088,0.698767078,0.168316832
31214-31221,1085,0.016327891,0.03960396
31203-31216,1078,0.583472176,0.148514851
31214-31212,1073,0.016661113,0.306930693
31229-31213,1062,0.229256914,0.03960396
31107-31200,1060,0.639453515,0.00990099
31108-31208,1057,0.151282906,0.415841584
31605-31619,1056,0.853715428,0.99009901
31603-31623,1054,0.181939354,0.02970297
31237-31225,1048,0.337887371,0.00990099
31613-31613,1045,0.088303899,0.594059406
31613-31623,1044,0.08697101,0.732673267
31221-31201,1040,0.343218927,0.00990099
31205-31229,1034,0.367544152,0.861386139
31618-31619,1033,0.557814062,0.069306931
31104-31103,1029,0.623792069,0.782178218
31218-31108,1023,0.862379207,0.306930693
31108-31218,1021,0.84371876,0.257425743
31623-31603,1020,0.379873376,0.217821782
31214-31111,1019,0.008330556,0.00990099
31605-31613,1017,0.000999667,0.138613861
31618-31623,1017,0.194935022,0.079207921
31012-31007,1013,0.073975342,0.128712871
31223-31203,1013,0.650783072,0.237623762
31616-31623,1004,0.000999667,0.03960396
31103-31214,1003,0.015328224,0.821782178
31205-31214,1003,0.298233922,0.851485149
31229-31111,1001,0.94401866,0.297029703
31111-31214,1000,0.436187937,0.96039604
31110-31205,998,0.970009997,0.821782178
31201-31223,996,0.332222592,0.00990099
31616-31603,993,0.206264578,0.03960396
31110-31214,990,0.016661113,0.237623762
31201-31201,985,0.391869377,0.227722772
31007-31012,982,0.062979007,0.643564356
31212-31201,982,0.612795735,0.693069307
31236-31236,982,0.064311896,0.02970297
31204-31200,974,0.000333222,0.336633663
31623-31217,973,0.059646784,0.207920792
31229-31205,969,0.332555815,0.386138614
31228-31203,964,0.057314229,0.346534653
31212-31214,962,0.035321559,0.524752475
31110-31101,961,0.381206265,0.376237624
31616-31611,960,0.586137954,0.04950495
31108-31108,957,0.160946351,0.435643564
31221-31214,956,0.573475508,0.00990099
31602-31200,955,0.020326558,0.98019802
31110-31104,954,0.731422859,0.089108911
31225-31237,953,0.543818727,0.069306931
31602-31102,952,0.000333222,0.02970297
31110-31212,949,0.373875375,0.554455446
31217-31623,945,0.052982339,0.782178218
31109-31200,944,0.001332889,0.435643564
31200-31236,944,0.038653782,0.099009901
31608-31208,940,0.589803399,0.396039604
31238-31238,938,0.716427857,0.98019802
31013-31007,934,0.003332223,0.188118812
31213-31214,932,0.820726425,0.316831683
31214-31214,928,0.424525158,0.00990099
31212-31212,925,0.018660447,0.435643564
31205-31212,924,0.580139953,0.792079208
31214-31104,923,0.176607797,0.445544554
31623-31617,922,0.185938021,0.00990099
31103-31107,920,0.995001666,0.198019802
31208-31108,913,0.55314895,0.089108911
31105-31203,912,0.252915695,0.00990099
31203-31203,911,0.684771743,0.336633663
31228-31600,911,0.396867711,0.306930693
31100-31206,908,0.997334222,0.198019802
31104-31101,908,0.967010996,0.257425743
31101-31110,906,0.001332889,0.544554455
31206-31100,906,0.320559813,0.01980198
31218-31218,903,0.059980007,0.128712871
31200-31106,901,0.001999334,0.247524752
31203-31110,894,0.407530823,0.188118812
31623-31623,892,0.746084638,0.178217822
31203-31221,888,0.300233256,0.079207921
31228-31201,886,0.84071976,0.465346535
31623-31605,885,0.141952682,0.415841584
31235-31219,884,0.139620127,0.841584158
31300-31305,881,0.412862379,0.168316832
31104-31104,879,0.893035655,0.811881188
31623-31228,879,0.106297901,0.04950495
31105-31106,878,0.289903366,0.01980198
31600-31228,878,0.729423525,0.138613861
31231-31231,877,0.016327891,0.059405941
31613-31608,873,0.763412196,0.683168317
31223-31201,872,0.252915695,0.02970297
31213-31201,868,0.415528157,0.693069307
31110-31229,867,0.570476508,0.207920792
31605-31623,864,0.5044985,0.118811881
31103-31201,860,0.19026991,0.356435644
31103-31101,859,0.013995335,0.069306931
31200-31204,859,0.106297901,0.00990099
31202-31201,855,0.978340553,0.02970297
31208-31613,853,0.97634122,0.247524752
31103-31229,852,0.77574142,0.702970297
31219-31217,849,0.627790736,0.178217822
31620-31623,844,0.891702766,0.089108911
31218-31219,843,0.957014329,0.00990099
31237-31205,843,0.087637454,0.247524752
31617-31623,840,0.194935022,0.544554455
31619-31618,839,0.382205931,0.02970297
31607-31619,834,0.652115961,0.168316832
31618-31613,834,0.76841053,0.02970297
31102-31111,832,0.476841053,0.069306931
31007-31013,831,0.000333222,0.158415842
31202-31214,831,0.463512163,0.00990099
31212-31205,831,0.831056315,0.504950495
31212-31237,831,0.176274575,0.059405941
31100-31201,830,0.063645452,0.02970297
31106-31106,826,0.402532489,0.04950495
31613-31618,826,0.512495835,0.079207921
31106-31105,825,0.931689437,0.514851485
31111-31203,825,0.912029324,0.930693069
31605-31208,825,0.714428524,0.683168317
31202-31101,824,0.033322226,0.267326733
31229-31221,823,0.955348217,0.98019802
31232-31232,821,0.150283239,0.752475248
31611-31616,817,0.109963346,0.01980198
31111-31229,816,0.716427857,0.396039604
31219-31235,816,0.58847051,0.04950495
31604-31624,816,0.087304232,0.158415842
31624-31600,812,0.857714095,0.02970297
31101-31202,811,0.770076641,0.495049505
31305-31104,809,0.398533822,0.158415842
31215-31200,808,0.256914362,0.138613861
31200-31107,807,0.33622126,0.722772277
31237-31110,807,0.736421193,0.98019802
31605-31606,806,0.080973009,0.831683168
31201-31212,805,0.146951016,0.00990099
31205-31237,805,0.227590803,0.495049505
31212-31110,803,0.505164945,0.118811881
31212-31225,801,0.639786738,0.04950495
31222-31201,796,0.743085638,0.00990099
31110-31213,793,0.716427857,0.00990099
31104-31201,792,0.030656448,0.455445545
31203-31223,792,0.717760746,0.247524752
31100-31200,791,0.00733089,0.079207921
31101-31105,784,0.381872709,0.772277228
31101-31221,782,0.954015328,0.861386139
31224-31200,781,0.079973342,0.01980198
31613-31611,781,0.226591136,0.336633663
31200-31224,780,0.194601799,0.138613861
31221-31229,776,0.003665445,0.485148515
31208-31208,774,0.03832056,0.267326733
31101-31213,772,0.294235255,0.00990099
31201-31221,771,0.101299567,0.079207921
31205-31225,771,0.619126958,0.00990099
31219-31218,771,0.754081973,1
31107-31110,770,0.81706098,0.069306931
31107-31106,769,0.253582139,0.792079208
31224-31214,769,0.196267911,0.01980198
31604-31623,769,0.07664112,0.00990099
31104-31205,768,0.078973675,0.158415842
31205-31110,765,0.804731756,0.415841584
31217-31219,763,0.052315895,0.01980198
31619-31607,763,0.160613129,0.336633663
31613-31605,761,0.714095302,0.089108911
31201-31503,757,0.730423192,0.217821782
31225-31205,753,0.681106298,0.01980198
31200-31105,750,0.000333222,0.594059406
31201-31109,749,0.942352549,0.613861386
31201-31202,748,0.74041986,0.306930693
31222-31218,747,0.929356881,0.435643564
31304-31200,745,0.222925691,0.762376238
31200-31103,744,0.128623792,0.207920792
31110-31225,743,0.319560147,0.920792079
31605-31610,743,0.564145285,0.089108911
31611-31613,743,0.535154948,0.207920792
31107-31103,742,0.482172609,0.96039604
31623-31620,742,0.988337221,0.00990099
31237-31212,741,0.124958347,0.089108911
31102-31602,740,0.748083972,0.237623762
31108-31609,740,0.583805398,0.00990099
31218-31208,738,0.323225591,0.128712871
31227-31228,738,0.623792069,0.148514851
31228-31624,737,0.541486171,0.940594059
31602-31101,737,0.287237587,0.574257426
31105-31201,734,0.47050983,0.217821782
31103-31110,733,0.116961013,0.465346535
31200-31220,733,0.538487171,0.108910891
31110-31203,732,0.701766078,0.485148515
31110-31221,730,0.965678107,0.376237624
31229-31212,730,0.219926691,0.683168317
31213-31101,724,0.24925025,0.158415842
31200-31228,723,0.110963012,0.03960396
31201-31104,723,0.000666445,0.910891089
31203-31214,720,0.779740087,0.00990099
31214-31202,719,0.52215928,0.326732673
31222-31228,719,0.007997334,0.00990099
31200-31222,718,0.000333222,0.653465347
31214-31203,718,0.937020993,0.01980198
31110-31237,716,0.585804732,0.881188119
31221-31237,714,0.335554815,0.02970297
31208-31608,711,0.534488504,0.435643564
31014-31225,710,0.664445185,0.217821782
31111-31102,710,0.380206598,0.306930693
31624-31620,709,0.269243585,0.03960396
31600-31227,704,0.035988004,0.326732673
31010-31009,703,0.797400866,0.435643564
31208-31605,703,0.303232256,0.633663366
31229-31203,702,0.212595801,0.564356436
31203-31229,701,0.052982339,0.00990099
31228-31200,701,0.925691436,0.207920792
31624-31228,700,0.375541486,0.900990099
31237-31213,699,0.378873709,0.306930693
31101-31224,697,0.706097967,0.00990099
31110-31110,697,0.842052649,0.267326733
31104-31102,696,0.458180606,0.02970297
31101-31212,695,0.074975008,0.03960396
31603-31611,695,0.875374875,0.643564356
31102-31104,694,0.210596468,0.633663366
31228-31623,693,0.005998001,0.00990099
31200-31109,692,0.018327224,0.247524752
