dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1262304000,2010-01-01 00:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,274.85,4800,272.67,272.05,274.58,275.21,1019,,,85,2.6,240,,,,0.32,,100,500,Rain,light rain,10n
1262304000,2010-01-01 00:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,274.85,4800,272.67,272.05,274.58,275.21,1019,,,85,2.6,240,,,,0.32,,100,600,Snow,light snow,13n
1262307600,2010-01-01 01:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,274.72,6437,272.7,274.72,274.38,275.01,1018,,,86,1,160,,0.3,,,,100,500,Rain,light rain,10n
1262307600,2010-01-01 01:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,274.72,6437,272.7,274.72,274.38,275.01,1018,,,86,1,160,,0.3,,,,100,701,Mist,mist,50n
1262311200,2010-01-01 02:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,274.7,4828,273.1,274.7,274.47,275.21,1017,,,89,0,0,,1.3,,,,100,501,Rain,moderate rain,10n
1262311200,2010-01-01 02:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,274.7,4828,273.1,274.7,274.47,275.21,1017,,,89,0,0,,1.3,,,,100,701,Mist,mist,50n
1262314800,2010-01-01 03:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,274.85,6000,273.23,273.33,274.59,275.21,1017,,,89,1.5,20,,,3,,,100,500,Rain,light rain,10n
1262318400,2010-01-01 04:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,274.91,10000,273.29,274.91,274.63,275.26,1017,,,89,0.5,160,,0.3,,,,100,500,Rain,light rain,10n
1262322000,2010-01-01 05:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,274.94,8047,273.32,274.94,274.71,275.21,1017,,,89,0,0,,,,,,100,701,Mist,mist,50n
1262325600,2010-01-01 06:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,274.92,6000,273.3,274.92,274.75,275.21,1016,,,89,0.5,270,,,,,,100,701,Mist,mist,50n
1262329200,2010-01-01 07:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,275.05,6437,273.43,272.79,274.64,275.27,1016,,,89,2.1,300,,,,,,100,701,Mist,mist,50n
1262332800,2010-01-01 08:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,274.89,6437,273.27,271.66,274.66,275.21,1016,,,89,3.1,340,,,,,,100,701,Mist,mist,50n
1262336400,2010-01-01 09:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,274.67,8000,272.93,271.01,274.59,274.86,1016,,,88,3.6,340,,,,,,100,701,Mist,mist,50n
1262340000,2010-01-01 10:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,273.96,10000,272.31,273.96,273.65,274.46,1015,,,88,1,310,,,,,,75,803,Clouds,broken clouds,04n
1262343600,2010-01-01 11:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,273.8,8047,272.17,273.8,273.55,274.11,1016,,,88,1,280,,,,,,75,701,Mist,mist,50n
1262347200,2010-01-01 12:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,273.93,8000,272.29,271.48,273.01,274.36,1016,,,88,2.1,290,,,,,,40,701,Mist,mist,50n
1262350800,2010-01-01 13:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,274.13,8047,272.46,274.13,273.46,274.61,1015,,,88,0.5,310,7.7,,,,,75,701,Mist,mist,50d
1262354400,2010-01-01 14:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,274.93,9656,273.16,272.65,274.11,275.45,1016,,,88,2.1,270,,,,,,75,701,Mist,mist,50d
1262358000,2010-01-01 15:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,276.59,9000,274.95,274.11,275.21,277.14,1016,,,89,2.6,300,8.2,,,,,100,701,Mist,mist,50d
1262361600,2010-01-01 16:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,277.87,10000,273.82,275.25,277.66,278.1,1016,,,75,3.1,360,,,,,,75,803,Clouds,broken clouds,04d
1262365200,2010-01-01 17:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,278.35,10000,273.33,275.49,277.56,278.64,1014,,,70,3.6,330,,,,,,75,803,Clouds,broken clouds,04d
1262368800,2010-01-01 18:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,278.99,10000,272.38,275.99,278.46,279.71,1014,,,62,4.1,330,,,,,,40,802,Clouds,scattered clouds,03d
1262372400,2010-01-01 19:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,278.94,10000,271.74,274.78,278.83,279.11,1013,,,59,6.7,330,,,,,,75,803,Clouds,broken clouds,04d
1262376000,2010-01-01 20:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,278.55,10000,271.42,274.94,278.03,279.11,1013,,,59,5.1,320,,,,,,75,803,Clouds,broken clouds,04d
1262379600,2010-01-01 21:00:00 +0000 UTC,-18000,Washington,38.907192,-77.036871,278.19,10000,270.7,275,277.53,279.11,1014,,,57,4.1,340,,,,,,40,802,Clouds,scattered clouds,03d
